trial_id,fold_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold,trades,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t
R2B0011,F07,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,True,4531,2245,-0.003769345845282752,-1.7081161764430883
R2B0011,F08,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,True,5044,2540,0.00155567144104252,1.0256792296851178
R2B0012,F01,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,True,4481,2014,-0.003513662960984931,-4.708190828080545
R2B0012,F02,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,True,8749,3021,-0.004481054150617731,-7.134025161299688
R2B0012,F03,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,True,10182,2493,-0.00553817408005157,-4.608642769366374
R2B0012,F04,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,True,15539,3255,-0.0036585877564134853,-5.291682974642914
R2B0012,F05,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,True,32278,4298,-0.0010398525624600225,-1.5900168171595044
R2B0012,F06,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,True,34521,4380,-0.0019667162215198817,-4.482152267481009
R2B0012,F07,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,True,29263,4251,-0.0026764943664200256,-5.887098712011891
R2B0012,F08,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,True,24287,3902,-0.002629534299777703,-7.1269982952506306
R2B0013,F01,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,True,2449,1472,-0.00648068539820044,-3.6193200962139276
R2B0013,F02,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,True,4908,2406,-0.0075054519823419645,-5.006309836357731
R2B0013,F03,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,True,5391,2067,-0.010000520904782078,-3.299987095801051
R2B0013,F04,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,True,7899,2714,-0.005754749460448471,-3.471340144467248
R2B0013,F05,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,True,14438,3982,0.0006665265342346408,0.38866637339798
R2B0013,F06,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,True,15251,4064,-0.0014879958760296822,-1.3273794070516216
R2B0013,F07,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,True,13432,3823,-0.003475348752986989,-3.025295659693448
R2B0013,F08,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,True,11310,3496,-0.004087269412734789,-4.678925634076219
R2B0014,F01,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,True,1527,1068,-0.009520987334379474,-3.0511608857354995
R2B0014,F02,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,True,3147,1851,-0.010199993804195676,-4.096460382537136
R2B0014,F03,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,True,3369,1665,-0.015056269409430178,-2.8314631929752845
R2B0014,F04,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,True,4775,2150,-0.007482144295956937,-2.6669324885812977
R2B0014,F05,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,True,7894,3366,0.004379647448489406,1.643847295108953
R2B0014,F06,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,True,8296,3370,-0.00024228212291268567,-0.1302796925285587
R2B0014,F07,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,True,7521,3099,-0.004287311913207735,-2.1807991313879156
R2B0014,F08,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,True,6395,2872,-0.004299243545181063,-3.172593468328725
R2B0015,F01,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,True,2598,658,-0.0009148925549125815,-0.49902979799819625
R2B0015,F02,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,True,5817,1053,-0.0022814408686756098,-1.5784078163030943
R2B0015,F03,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,True,8091,1017,0.0004608471054413598,0.19576173082670995
R2B0015,F04,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,True,7320,979,-0.0017275265545135105,-1.0375867854072116
R2B0015,F05,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,True,1936,642,-0.005301899704943102,-2.1040113919591943
R2B0015,F06,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,True,1524,698,-0.0048900707621324915,-2.5164485092934203
R2B0015,F07,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,True,3573,832,-0.0029064965679350043,-1.7583864305584591
R2B0015,F08,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,True,4945,942,-0.0006683320132433189,-0.6338331901537632
R2B0016,F01,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,True,1683,587,0.0006145130368181374,0.22029334358625316
R2B0016,F02,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,True,3914,970,-0.0005179421878161444,-0.19199225673584094
R2B0016,F03,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,True,5297,976,0.005696015604590687,1.2790220349475958
R2B0016,F04,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,True,4860,941,0.0001473882922365501,0.047912169682120136
R2B0016,F05,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,True,1568,603,-0.00952260522982247,-2.4033605959479476
R2B0016,F06,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,True,1240,642,-0.007728374679588798,-2.3269565024267833
R2B0016,F07,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,True,2642,781,-0.0024835495514262964,-0.8521149571388646
R2B0016,F08,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,True,3370,885,0.001963056754141302,1.0210376542974788
R2B0017,F01,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,True,1338,543,-0.004972903263962929,-2.1933553631510514
R2B0017,F02,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,True,2702,820,-0.006729654793551915,-3.7826677654446432
R2B0017,F03,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,True,3105,682,-0.009884928172818195,-2.836699295549316
R2B0017,F04,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,True,4584,833,-0.004518541858593144,-2.216462841943105
R2B0017,F05,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,True,9573,1077,0.0009778198791332092,0.4972958727263164
R2B0017,F06,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,True,10249,1097,-0.0017938536080618914,-1.3316879354891566
R2B0017,F07,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,True,8703,1062,-0.002948791877417517,-2.1389452875571733
R2B0017,F08,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,True,7172,988,-0.004449240168891209,-3.7813921577965903
R2B0018,F01,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,True,977,473,-0.008609856699933057,-2.7939506784305395
R2B0018,F02,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,True,1968,745,-0.011914045566830357,-3.9550416486165108
R2B0018,F03,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,True,2213,623,-0.013943412079360411,-2.0192221985597976
R2B0018,F04,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,True,3177,768,-0.009976544533847968,-2.8139705771605636
R2B0018,F05,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,True,6148,1061,0.003758948091100805,1.0535071535795206
R2B0018,F06,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,True,6535,1077,-0.0013971346831915558,-0.5574692224608863
R2B0018,F07,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,True,5677,1031,-0.0049838086409163115,-2.0175318069760957
R2B0018,F08,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,True,4709,947,-0.005819137865411446,-3.107592323247284
R2B0019,F01,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,True,16500,7894,-0.0015969205667785869,-7.695785080987767
R2B0019,F02,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,True,32728,11732,-0.0011727344899651892,-6.788955819379583
R2B0019,F03,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,True,38583,9677,-0.0006553538087887702,-1.8435696487677788
R2B0019,F04,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,True,60481,12737,-0.001465685260985999,-8.39886782774798
R2B0019,F05,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,True,128639,17191,-0.002212247289176512,-13.15840400465062
R2B0019,F06,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,True,137750,17605,-0.0020069254004673152,-17.284594705592234
R2B0019,F07,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,True,116329,16915,-0.0017708378375561294,-15.350477771664028
R2B0019,F08,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,True,96590,15663,-0.001798954227877212,-17.689570182581683
R2B0020,F01,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,True,7400,4821,-0.00048319586197270134,-0.744951399991718
R2B0020,F02,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,True,15088,8122,4.181338116797155e-05,0.07565718472142531
R2B0020,F03,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,True,16423,7262,0.0004576248571175531,0.40585727538592214
