trial_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t,p_value,bootstrap_ci_low,bootstrap_ci_high,best_fold_aggregate_mean,worst_fold_aggregate_mean,top_symbol,max_top_symbol_share_abs,fdr_q_value,catastrophic_reversal,temporal_replication
R2B0030,derivatives.premium,CROWDING_REVERSION,1h,SHORT,4,8,0.0,26595,-0.0018603326820754254,-8.402288442482636,4.5943121383973936e-17,-0.0023725871044941553,-0.0013578902071776098,-0.00012396178519043683,-0.0027101359295152627,SOLUSDT,0.030473102143238003,1.6539523698230617e-16,True,NO_REPLICATION
R2B0031,derivatives.premium,CROWDING_REVERSION,1h,SHORT,12,8,0.25,22663,-0.0023478741786544435,-3.9551681911916847,7.671339095672994e-05,-0.00376813146482311,-0.0009386105521227204,0.0023533755532353855,-0.0049668725714938225,SOLUSDT,0.03667939444297523,0.00014162472176627066,True,NO_REPLICATION
R2B0032,derivatives.premium,CROWDING_REVERSION,1h,SHORT,24,8,0.25,18403,-0.003311322738021176,-3.216244788495,0.0013010445467694619,-0.005996374155894529,-0.0006020962874772568,0.004602434359345565,-0.008871198274737967,DOGEUSDT,0.04333582993620206,0.002128981985622756,False,NO_REPLICATION
R2B0033,derivatives.premium,CROWDING_REVERSION,4h,LONG,3,8,0.625,7102,-0.00017484068656521142,-0.25822072412814273,0.7962440479917506,-0.0016136431568642255,0.0014697124097459843,0.005884928172818191,-0.004977819879133211,EOSUSDT,0.02612044951256485,0.8556652456030753,False,NO_REPLICATION
R2B0034,derivatives.premium,CROWDING_REVERSION,4h,LONG,6,8,0.75,6725,0.0015706555375854892,1.2441952348766094,0.21347108596789272,-0.0011255640963880875,0.005010259686429041,0.009943412079360408,-0.007758948091100808,DOGEUSDT,0.0431423741058954,0.2649985894773841,False,NO_REPLICATION
R2B0035,derivatives.premium,CROWDING_REVERSION,4h,SHORT,3,8,0.25,6821,-0.001934058579383987,-2.9750438597250195,0.002939735371324376,-0.00333588163914899,-0.00047526527358756916,0.0013018997049430983,-0.004460847105441363,SOLUSDT,0.04107419196239169,0.004409603056986564,True,NO_REPLICATION
R2B0036,derivatives.premium,CROWDING_REVERSION,4h,SHORT,6,8,0.25,6385,-0.0031621338094562045,-2.6065076669856757,0.009168336389876375,-0.006169891400612468,-0.00011353664500926679,0.005522605229822468,-0.00969601560459069,DOGEUSDT,0.053129977074334166,0.012694619616751905,False,NO_REPLICATION
R2B0037,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,LONG,4,8,0.0,129465,-0.0020810193131804633,-38.89624212237754,0.0,-0.002184198327420066,-0.0019657125039053533,-0.0019567522029715336,-0.002488104926586318,LINKUSDT,0.022313468044996353,0.0,True,NO_REPLICATION
R2B0038,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,LONG,16,8,0.0,109801,-0.0019142265165466702,-10.131058429073303,4.1222222370958424e-24,-0.0023006291744254673,-0.0014863068349440936,-0.000968052738817929,-0.0032292772965447814,BCHUSDT,0.02445274297763554,2.1200000076492904e-23,True,NO_REPLICATION
R2B0039,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,LONG,48,8,0.125,68388,-0.0014410686435527096,-2.9966134646623575,0.0027309452219640208,-0.0025832096153009555,-0.00015722954432721516,0.000935367211968425,-0.005412758307339363,EOSUSDT,0.023018013906731347,0.004183575659178926,True,NO_REPLICATION
R2B0040,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,LONG,96,8,0.625,40526,-0.0007686159447054549,-0.8856642457255796,0.37580373565258196,-0.0029944361811367615,0.0017069655446144388,0.003963455725174756,-0.008321580009957585,DOGEUSDT,0.043914080372708,0.43641724140299837,True,NO_REPLICATION
R2B0041,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,SHORT,4,8,0.0,129158,-0.0022711284306553654,-41.77190631790413,0.0,-0.002372897972116861,-0.0021713671308156777,-0.0018763875178737243,-0.0025994387294914116,LINKUSDT,0.02290278173267722,0.0,True,NO_REPLICATION
