trial_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_hac_t,fdr_q_value,max_top_symbol_share_abs,catastrophic_reversal,temporal_replication
R2B0062,derivatives.premium_zscore,CROWDING_REVERSION,15m,SHORT,96,8,0.25,-3.7234737864810246,0.00034554074771441244,0.040847986710003815,False,NO_REPLICATION
R2B0063,derivatives.premium_zscore,CROWDING_REVERSION,1h,LONG,4,8,0.0,-7.019347866599035,7.441091209147322e-12,0.028331220326040654,True,NO_REPLICATION
R2B0064,derivatives.premium_zscore,CROWDING_REVERSION,1h,LONG,12,8,0.5,-1.3976054729170444,0.204937925972245,0.030788607218255038,True,NO_REPLICATION
R2B0065,derivatives.premium_zscore,CROWDING_REVERSION,1h,LONG,24,8,0.625,-0.07380123344296474,0.9411691858959165,0.03857357927555998,False,NO_REPLICATION
R2B0066,derivatives.premium_zscore,CROWDING_REVERSION,1h,SHORT,4,8,0.0,-9.917026286741903,1.8203308834874825e-22,0.02696630465775463,True,NO_REPLICATION
R2B0067,derivatives.premium_zscore,CROWDING_REVERSION,1h,SHORT,12,8,0.125,-4.326793310831895,3.1229358570325926e-05,0.042354717233403553,True,NO_REPLICATION
R2B0068,derivatives.premium_zscore,CROWDING_REVERSION,1h,SHORT,24,8,0.25,-3.069474358530284,0.003360300445877054,0.04099010969622527,True,NO_REPLICATION
R2B0069,derivatives.premium_zscore,CROWDING_REVERSION,4h,LONG,3,8,0.5,-0.9872627445655849,0.38542838259839995,0.025964155097621146,True,NO_REPLICATION
R2B0070,derivatives.premium_zscore,CROWDING_REVERSION,4h,LONG,6,8,0.625,-0.10848428785014264,0.9397177721267947,0.034701532666545895,False,NO_REPLICATION
R2B0071,derivatives.premium_zscore,CROWDING_REVERSION,4h,SHORT,3,8,0.125,-4.0926053898656205,8.385347950126412e-05,0.034757281532399556,True,NO_REPLICATION
R2B0072,derivatives.premium_zscore,CROWDING_REVERSION,4h,SHORT,6,8,0.25,-2.5051904286099966,0.016346777167672275,0.032592318304235667,True,NO_REPLICATION
