granularity,feature,eligible_rows,finite_rows,coverage_fraction,first_finite_timestamp,last_finite_timestamp,missingness_cause,symbol,timeframe,year,segment_start,segment_end,month,segment_id
symbol_timeframe_year,derivatives.premium,744,744,1.0,2023-01-01T00:00:00+00:00,2023-01-31T23:00:00+00:00,AVAILABLE,ALGOUSDT,1h,2023,2022-08-01 00:00:00+00:00,2023-01-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,918,918,1.0,2020-08-01T00:00:00+00:00,2020-12-31T20:00:00+00:00,AVAILABLE,ALGOUSDT,4h,2020,2020-06-16 08:00:00+00:00,2021-04-30 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1272,1272,1.0,2021-01-01T00:00:00+00:00,2021-12-31T20:00:00+00:00,AVAILABLE,ALGOUSDT,4h,2021,2020-06-16 08:00:00+00:00,2021-04-30 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1638,1638,1.0,2022-01-01T00:00:00+00:00,2022-12-31T20:00:00+00:00,AVAILABLE,ALGOUSDT,4h,2022,2021-08-01 00:00:00+00:00,2022-06-30 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,186,186,1.0,2023-01-01T00:00:00+00:00,2023-01-31T20:00:00+00:00,AVAILABLE,ALGOUSDT,4h,2023,2022-08-01 00:00:00+00:00,2023-01-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,20544,20544,1.0,2021-06-01T00:00:00+00:00,2021-12-31T23:45:00+00:00,AVAILABLE,ALICEUSDT,15m,2021,2021-04-01 00:00:00+00:00,2022-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,20352,20352,1.0,2022-01-01T00:00:00+00:00,2022-07-31T23:45:00+00:00,AVAILABLE,ALICEUSDT,15m,2022,2021-04-01 00:00:00+00:00,2022-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,5136,5136,1.0,2021-06-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,AVAILABLE,ALICEUSDT,1h,2021,2021-04-01 00:00:00+00:00,2022-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,5088,5088,1.0,2022-01-01T00:00:00+00:00,2022-07-31T23:00:00+00:00,AVAILABLE,ALICEUSDT,1h,2022,2021-04-01 00:00:00+00:00,2022-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1284,1284,1.0,2021-06-01T00:00:00+00:00,2021-12-31T20:00:00+00:00,AVAILABLE,ALICEUSDT,4h,2021,2021-04-01 00:00:00+00:00,2022-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1272,1272,1.0,2022-01-01T00:00:00+00:00,2022-07-31T20:00:00+00:00,AVAILABLE,ALICEUSDT,4h,2022,2021-04-01 00:00:00+00:00,2022-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,14400,14400,1.0,2021-02-01T00:00:00+00:00,2021-09-30T23:45:00+00:00,AVAILABLE,ALPHAUSDT,15m,2021,2020-12-01 00:00:00+00:00,2021-04-30 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2022-05-01T00:00:00+00:00,2022-05-31T23:45:00+00:00,AVAILABLE,ALPHAUSDT,15m,2022,2022-03-01 00:00:00+00:00,2022-05-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,8640,8640,1.0,2023-02-01T00:00:00+00:00,2023-07-31T23:45:00+00:00,AVAILABLE,ALPHAUSDT,15m,2023,2022-12-01 00:00:00+00:00,2023-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,3600,3600,1.0,2021-02-01T00:00:00+00:00,2021-09-30T23:00:00+00:00,AVAILABLE,ALPHAUSDT,1h,2021,2020-12-01 00:00:00+00:00,2021-04-30 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,744,744,1.0,2022-05-01T00:00:00+00:00,2022-05-31T23:00:00+00:00,AVAILABLE,ALPHAUSDT,1h,2022,2022-03-01 00:00:00+00:00,2022-05-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2160,2160,1.0,2023-02-01T00:00:00+00:00,2023-07-31T23:00:00+00:00,AVAILABLE,ALPHAUSDT,1h,2023,2022-12-01 00:00:00+00:00,2023-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,900,900,1.0,2021-02-01T00:00:00+00:00,2021-09-30T20:00:00+00:00,AVAILABLE,ALPHAUSDT,4h,2021,2020-12-01 00:00:00+00:00,2021-04-30 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,186,186,1.0,2022-05-01T00:00:00+00:00,2022-05-31T20:00:00+00:00,AVAILABLE,ALPHAUSDT,4h,2022,2022-03-01 00:00:00+00:00,2022-05-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,540,540,1.0,2023-02-01T00:00:00+00:00,2023-07-31T20:00:00+00:00,AVAILABLE,ALPHAUSDT,4h,2023,2022-12-01 00:00:00+00:00,2023-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2023-07-01T00:00:00+00:00,2023-07-31T23:45:00+00:00,AVAILABLE,AMBUSDT,15m,2023,2023-05-01 00:00:00+00:00,2023-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,744,744,1.0,2023-07-01T00:00:00+00:00,2023-07-31T23:00:00+00:00,AVAILABLE,AMBUSDT,1h,2023,2023-05-01 00:00:00+00:00,2023-07-31 23:00:00+00:00,,
