market,symbol,archive_dataset,interval,first_archive_month,last_archive_month,available_month_count,missing_month_count_inside_observed_span,object_count,compressed_bytes_from_s3_listing,first_key,last_key,eligible,instrument_class,exclusion_reason,evidence
spot,BNBBULLBUSD,klines,15m,2020-03,2020-03,1,0,1,78419,data/spot/monthly/klines/BNBBULLBUSD/15m/BNBBULLBUSD-15m-2020-03.zip,data/spot/monthly/klines/BNBBULLBUSD/15m/BNBBULLBUSD-15m-2020-03.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBBULLUSDT,klines,15m,2020-03,2020-03,1,0,1,91148,data/spot/monthly/klines/BNBBULLUSDT/15m/BNBBULLUSDT-15m-2020-03.zip,data/spot/monthly/klines/BNBBULLUSDT/15m/BNBBULLUSDT-15m-2020-03.zip,False,SYNTHETIC_OR_LEVERAGED,LEVERAGED_TOKEN_SUFFIX,symbol naming policy
spot,BNBBUSD,klines,15m,2019-09,2023-12,52,0,52,6365487,data/spot/monthly/klines/BNBBUSD/15m/BNBBUSD-15m-2019-09.zip,data/spot/monthly/klines/BNBBUSD/15m/BNBBUSD-15m-2023-12.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBDAI,klines,15m,2020-08,2024-10,51,0,51,3771156,data/spot/monthly/klines/BNBDAI/15m/BNBDAI-15m-2020-08.zip,data/spot/monthly/klines/BNBDAI/15m/BNBDAI-15m-2024-10.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBDOWNUSDT,klines,15m,2020-08,2024-02,43,0,43,5062911,data/spot/monthly/klines/BNBDOWNUSDT/15m/BNBDOWNUSDT-15m-2020-08.zip,data/spot/monthly/klines/BNBDOWNUSDT/15m/BNBDOWNUSDT-15m-2024-02.zip,False,SYNTHETIC_OR_LEVERAGED,LEVERAGED_TOKEN_SUFFIX,symbol naming policy
spot,BNBETH,klines,15m,2017-08,2026-07,108,0,108,12259181,data/spot/monthly/klines/BNBETH/15m/BNBETH-15m-2017-08.zip,data/spot/monthly/klines/BNBETH/15m/BNBETH-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBEUR,klines,15m,2020-01,2026-07,79,0,79,8928021,data/spot/monthly/klines/BNBEUR/15m/BNBEUR-15m-2020-01.zip,data/spot/monthly/klines/BNBEUR/15m/BNBEUR-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBFDUSD,klines,15m,2023-07,2026-07,37,0,37,4576614,data/spot/monthly/klines/BNBFDUSD/15m/BNBFDUSD-15m-2023-07.zip,data/spot/monthly/klines/BNBFDUSD/15m/BNBFDUSD-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBGBP,klines,15m,2020-06,2023-12,43,0,43,4103106,data/spot/monthly/klines/BNBGBP/15m/BNBGBP-15m-2020-06.zip,data/spot/monthly/klines/BNBGBP/15m/BNBGBP-15m-2023-12.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBIDR,klines,15m,2025-11,2026-07,9,0,9,648002,data/spot/monthly/klines/BNBIDR/15m/BNBIDR-15m-2025-11.zip,data/spot/monthly/klines/BNBIDR/15m/BNBIDR-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBIDRT,klines,15m,2020-04,2022-05,26,0,26,2275807,data/spot/monthly/klines/BNBIDRT/15m/BNBIDRT-15m-2020-04.zip,data/spot/monthly/klines/BNBIDRT/15m/BNBIDRT-15m-2022-05.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBJPY,klines,15m,2024-03,2026-07,29,0,29,3364293,data/spot/monthly/klines/BNBJPY/15m/BNBJPY-15m-2024-03.zip,data/spot/monthly/klines/BNBJPY/15m/BNBJPY-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBNGN,klines,15m,2019-10,2021-02,17,0,17,1252639,data/spot/monthly/klines/BNBNGN/15m/BNBNGN-15m-2019-10.zip,data/spot/monthly/klines/BNBNGN/15m/BNBNGN-15m-2021-02.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBPAX,klines,15m,2018-11,2021-09,35,0,35,2612835,data/spot/monthly/klines/BNBPAX/15m/BNBPAX-15m-2018-11.zip,data/spot/monthly/klines/BNBPAX/15m/BNBPAX-15m-2021-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBRUB,klines,15m,2019-12,2023-11,48,0,48,5043794,data/spot/monthly/klines/BNBRUB/15m/BNBRUB-15m-2019-12.zip,data/spot/monthly/klines/BNBRUB/15m/BNBRUB-15m-2023-11.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
