trial_id,year,trades,sharpe
T0076,2024,789,-0.8357713810920856
T0077,2024,789,0.9904670309086514
T0078,2024,789,-1.3444841611281313
T0079,2024,754,0.5411184399981424
T0080,2024,789,-2.0164709065188045
T0081,2024,938,-0.36854845787261586
T0082,2024,938,3.8984130840228652
T0083,2024,938,-5.079458532300424
T0084,2024,938,-0.36854845787261586
T0085,2024,938,3.8984130840228652
T0086,2024,938,-5.079458532300424
T0087,2024,938,0.412496382402703
T0088,2024,866,-0.3441502962676526
T0089,2024,898,-0.6935966643000804
T0090,2024,830,0.48068386745151825
T0091,2024,727,3.916020168085989
T0092,2024,715,7.155674348422202
T0093,2024,938,-2.7455362944415236
T0094,2024,938,1.0938213392293132
T0095,2024,938,0.6604747552562334
T0096,2024,854,3.430325781011171
T0097,2024,608,-4.222746436162818
T0098,2024,343,-0.6429789100021411
T0099,2024,205,-12.501469753147974
T0100,2024,899,2.487554785852094
T0101,2024,630,0.30413564836158496
T0102,2024,787,6.211331796873251
T0103,2024,938,-4.045029291344497
T0104,2024,938,-6.880640261609593
T0105,2024,938,-2.6492511434130672
T0106,2024,811,5.343712075947214
T0107,2024,938,2.599931037834419
T0108,2024,925,-7.169752002615301
T0109,2024,24,46.86056237804539
T0110,2024,893,2.540413827282768
T0111,2024,893,-0.46605656218646097
T0112,2024,893,-0.46605656218646097
T0113,2024,893,2.540413827282768
T0114,2024,893,-0.46605656218646097
T0115,2024,893,-0.46605656218646097
T0116,2024,893,-0.46605656218646097
T0117,2024,743,-1.2255148945906036
T0118,2024,834,1.243786715414266
T0119,2024,605,0.7728300894732801
T0120,2024,428,-4.645268136943471
T0121,2024,391,-7.446411322695586
T0122,2024,894,-0.299071584865094
T0123,2024,901,-1.7176165924808555
T0124,2024,893,-0.39290839676798767
T0125,2024,672,0.8679952646845088
T0126,2024,324,-1.504463088209087
T0127,2024,140,9.8904283624489
T0128,2024,66,11.067672171548242
T0129,2024,841,2.1239299490197054
T0130,2024,268,12.915208199051339
T0131,2024,521,-4.6819726915095705
T0132,2024,893,0.5721017668114401
T0133,2024,893,-1.3451120266451866
T0134,2024,893,-0.06139296442204324
T0135,2024,901,-1.447422986953585
T0136,2024,881,-1.4765455320467056
T0137,2024,24,20.978938362853775
T0138,2024,798,-0.027419850600234056
T0139,2024,798,2.0224091910262536
T0140,2024,250,0.3370223923305945
T0141,2024,798,-0.027419850600234056
T0142,2024,798,2.0224091910262536
T0143,2024,250,0.3370223923305945
T0144,2024,806,-1.5246299715144163
T0145,2024,592,-0.5718204634779022
T0146,2024,607,-3.0829493993614285
T0147,2024,244,2.1635579018429256
T0148,2024,123,-1.29220414339049
T0149,2024,106,0.02254980670108248
T0150,2024,798,-0.6717365918623333
T0151,2024,798,-0.08771241051941976
T0152,2024,806,-1.4977752967604
T0153,2024,384,-3.8946495849713934
T0154,2024,119,-6.6192230705841455
T0155,2024,37,16.617473380180364
T0156,2024,6,-25.782095359719015
T0157,2024,567,1.459449798204685
T0158,2024,39,-3.861737338563889
T0159,2024,149,-3.6472811274448
T0160,2024,798,-0.08771241051941976
T0161,2024,798,2.0224091910262536
T0162,2024,798,-0.8678921561454884
T0163,2024,761,0.9967859979745496
T0164,2024,798,-1.4255068820498074
T0165,2024,787,1.9431854700113327
T0166,2024,24,12.501537906571835
T0167,2024,938,-16.9090333110582
T0168,2024,938,-22.170877500085307
T0169,2024,938,-14.536690204370458
T0170,2024,938,-16.9090333110582
T0171,2024,938,-22.170877500085307
T0172,2024,938,-14.536690204370458
T0173,2024,938,-17.725619554219737
T0174,2024,866,-17.861297580459013
T0175,2024,898,-17.749444369873537
T0176,2024,830,-19.238266343086288
T0177,2024,727,-22.293787698075743
T0178,2024,715,-25.278438951921526
T0179,2024,938,-17.049605504813513
T0180,2024,938,-19.94395909973302
T0181,2024,938,-17.957857121873776
T0182,2024,854,-21.57923343774891
T0183,2024,608,-14.323630643488853
T0184,2024,343,-16.483491447238947
T0185,2024,205,-1.2089638204940325
T0186,2024,899,-20.805697550841288
T0187,2024,630,-17.144553180344506
T0188,2024,787,-24.165115646602896
T0189,2024,938,-12.803258463290675
T0190,2024,938,-12.791721123964019
T0191,2024,938,-17.18603257288418
T0192,2024,811,-24.520490761652223
T0193,2024,938,-20.934488966916934
T0194,2024,925,-12.407715953154566
T0195,2024,24,-72.47595590461084
