trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars_24h,status,observations,signals,executed_trades,signal_frequency,exposure,turnover,gross_return,net_return,hit_rate,mean_net_return,median_net_return,sharpe,sortino,max_drawdown,calmar,hac_t_stat,bootstrap_ci_low,bootstrap_ci_high
T0124,momentum.roc,roc_24,um,1h,LONG,top50,24,REGISTERED,44330,1703,1703,0.03841642228739003,0.9219941348973607,3406.0,-0.9989882621740408,-0.9999798135449084,0.44039929536112743,-0.004624622658798178,-0.004669727890787674,-7.339917321419415,-10.547827746557251,-0.9999795927438584,-40.51252124046993,-4.122550494089736,-0.008687831564529104,0.008611280351620317
T0125,momentum.rsi,rsi_7_30_70,um,1h,LONG,top50,24,REGISTERED,44330,1313,1313,0.029618768328445746,0.7108504398826979,2626.0,-0.7151560664378507,-0.986424237925659,0.46001523229246,-0.0016168832312176598,-0.004304409701342857,-2.5979009717856836,-3.940101731668515,-0.9885173967976922,-14.328424721052684,-1.3375639300170579,-0.0037046749110207135,0.006373525366852116
T0126,momentum.rsi,rsi_14_30_70,um,1h,LONG,top50,24,REGISTERED,44330,658,658,0.014843221294834199,0.35623731107602075,1316.0,65.17110598494241,13.352042186076758,0.5106382978723404,0.00569001102018004,0.000962924908405851,9.109639674359123,16.163291430725945,-0.4698912620065744,106.07666191519807,2.6764248088933638,0.004819818733546924,0.009328374045394097
T0127,momentum.rsi,rsi_21_30_70,um,1h,LONG,top50,24,REGISTERED,44330,324,324,0.0073088202120460185,0.17541168508910446,648.0,19.30275496127223,8.239045096117641,0.5277777777777778,0.008514018038287375,0.003601382338589536,13.737246558469478,24.89793537365589,-0.36888871654533917,202.18237823555285,2.8528584589424066,0.007090288231264386,0.015043537498082456
T0128,volatility.atr_natr,natr14_filter,um,1h,LONG,top50,24,REGISTERED,44330,292,292,0.006586961425671103,0.1580870742161065,584.0,802.1548962513375,419.22308781375057,0.523972602739726,0.02421755162946965,0.003432363649916028,26.795513441800676,62.2314734780822,-0.4107410945019285,516.4950746684005,6.097374826598166,0.006660184958619676,0.025439492899602064
T0129,volatility.bollinger_bandwidth,bb20_2s_filter,um,1h,LONG,top50,24,REGISTERED,44330,1578,1578,0.03559666140311302,0.8543198736747124,3156.0,-0.9739707628260877,-0.999322708778387,0.44740177439797213,-0.0030397317496024673,-0.004520429233194693,-4.97861036981941,-7.570323769864284,-0.9993599701059102,-26.645103789474003,-2.6758304427411312,-0.006014829680763865,0.006918240664615434
T0130,volatility.realized_percentile,rv20_p100_filter,um,1h,LONG,top50,24,REGISTERED,44330,499,499,0.011256485450033837,0.2701556508008121,998.0,2339.78802970218,782.8659909997766,0.5851703406813628,0.0156757584756075,0.008261192793538952,21.181132814811228,45.01985347593143,-0.32923630215968847,417.08536800330717,5.768269753383352,0.01431648123962359,0.01605121101137799
T0131,volume.rvol,rvol20_filter,um,1h,LONG,top50,24,REGISTERED,44330,1044,1044,0.023550642905481617,0.5652154297315588,2088.0,-0.9731676288872732,-0.9975904939545178,0.4396551724137931,-0.0040157278482430185,-0.006259687169982522,-6.254628588407033,-9.396438464105215,-0.9981118174367607,-35.244323668011944,-2.5246519708020982,-0.0063864817525427124,0.004421671418151091
T0132,volume.vwap_deviation,vwap_dev20_reversal,um,1h,LONG,top50,24,REGISTERED,44330,1703,1703,0.03841642228739003,0.9219941348973607,3406.0,-0.9995897235981953,-0.9999920179044931,0.43041691133294185,-0.0054334172082857336,-0.00775454545454549,-9.407893029586512,-13.330045459221612,-0.9999923197893242,-47.597100300340884,-4.99798770302504,-0.00887029482849642,0.005762211639550579
T0133,orderflow.taker_ratio,ratio_sign,um,1h,LONG,top50,24,REGISTERED,44330,1748,1748,0.039431536205729756,0.9463568689375141,3496.0,-0.9939919906391009,-0.9998947744434517,0.42848970251716245,-0.0036899017632836743,-0.005646934801830121,-6.14315810260224,-9.136992146654348,-0.9999125214535476,-32.32636730998935,-3.485832252065304,-0.00666823972185386,0.00634709715709785
T0134,orderflow.cvd,cvd_slope6_sign,um,1h,LONG,top50,24,REGISTERED,44330,1748,1748,0.039431536205729756,0.9463568689375141,3496.0,-0.6127448399135438,-0.9931472488893557,0.4696796338672769,-0.0014711075364719423,-0.0027168856422000237,-2.580331494883139,-3.9811650670182495,-0.9947586823445427,-12.954802253267223,-1.4162419118480338,-0.004454352241451876,0.008582427119310433
T0135,context.btc_regime,regime_follow,um,1h,LONG,top50,24,REGISTERED,44330,1711,1711,0.03859688698398376,0.9263252876156102,3422.0,-0.7422186036222027,-0.9951438184703835,0.4418468731735827,-0.0017307476965909704,-0.004244098011884665,-3.0390919306619195,-4.706235690647571,-0.9972053596577598,-15.20383908419853,-1.6793563775339388,-0.003360192358242335,0.004320192810037239
T0136,derivatives.funding,funding_sign,um,1h,LONG,top50,24,REGISTERED,44330,1732,1732,0.0390706068125423,0.9376945635010151,3464.0,-0.994534530209604,-0.9999012573256976,0.42609699769053117,-0.003762202327512885,-0.005829976261865075,-6.238195171277785,-9.274998551578355,-0.9999179109533449,-32.959598010991726,-3.5285436821655574,-0.006736970496315314,0.006339929169587749
T0137,derivatives.funding_zscore,z90_extreme,um,1h,LONG,top50,24,REGISTERED,44330,45,45,0.0010151139183397248,0.024362734040153395,90.0,-0.36167214549927906,-0.41801429024876036,0.4444444444444444,-0.010906634510418373,-0.00319487010131278,-22.627419653803784,-25.21606664746964,-0.47145908060381847,-202.6519845346916,-1.6307041819821166,-0.022426199031872308,0.00225858208552898
T0138,trend.ema_20_50_spread,ema_10_30,um,4h,LONG,top50,6,REGISTERED,11120,1383,1383,0.1243705035971223,0.7462230215827338,2766.0,5.3959889650663015,-0.7089008933342916,0.4475777295733912,0.0006114726785397692,-0.005427443315089962,0.511493929204832,0.8459918892711306,-0.8375137519153928,1.5989291673593624,0.5623813085500032,-0.0017801474218059271,0.007670168574702923
T0139,trend.ema_20_50_spread,ema_20_50,um,4h,LONG,top50,6,REGISTERED,11120,1248,1248,0.11223021582733812,0.6733812949640288,2496.0,0.16157738240805575,-0.9290723964379961,0.40625,-0.000945845056741326,-0.007164210052169308,-0.8934914034433152,-1.5048830414720358,-0.9518230023648595,-2.1762456560904586,-0.7524493819819918,-0.004121654390614709,0.007202374319882381
T0140,trend.ema_20_50_spread,ema_50_200,um,4h,LONG,top50,6,REGISTERED,11120,250,250,0.022482014388489208,0.13489208633093525,500.0,0.6436318424934377,-0.05366636998865215,0.484,0.00021481540513380105,-0.0006433439708229163,0.3370223923305945,0.5328898594674923,-0.3396026643029285,1.3852828222318734,0.14201798268619767,0.00021481540513380105,0.00021481540513380105
T0141,trend.ema_50_200_regime,ema_10_30,um,4h,LONG,top50,6,REGISTERED,11120,1383,1383,0.1243705035971223,0.7462230215827338,2766.0,5.3959889650663015,-0.7089008933342916,0.4475777295733912,0.0006114726785397692,-0.005427443315089962,0.511493929204832,0.8459918892711306,-0.8375137519153928,1.5989291673593624,0.5623813085500032,-0.0017801474218059271,0.007670168574702923
T0142,trend.ema_50_200_regime,ema_20_50,um,4h,LONG,top50,6,REGISTERED,11120,1248,1248,0.11223021582733812,0.6733812949640288,2496.0,0.16157738240805575,-0.9290723964379961,0.40625,-0.000945845056741326,-0.007164210052169308,-0.8934914034433152,-1.5048830414720358,-0.9518230023648595,-2.1762456560904586,-0.7524493819819918,-0.004121654390614709,0.007202374319882381
T0143,trend.ema_50_200_regime,ema_50_200,um,4h,LONG,top50,6,REGISTERED,11120,250,250,0.022482014388489208,0.13489208633093525,500.0,0.6436318424934377,-0.05366636998865215,0.484,0.00021481540513380105,-0.0006433439708229163,0.3370223923305945,0.5328898594674923,-0.3396026643029285,1.3852828222318734,0.14201798268619767,0.00021481540513380105,0.00021481540513380105
T0144,trend.ema_slope,default,um,4h,LONG,top50,6,REGISTERED,11120,1391,1391,0.12508992805755395,0.7505395683453238,2782.0,-0.6738442212673894,-0.9853992245375801,0.4845434938892883,-0.0019317302526295878,-0.0018015085351330545,-1.8904415974661888,-2.8783812129087405,-0.9891598247130384,-4.276851068517759,-1.98152032431194,-0.0030337519840985053,0.0018637311739630404
T0145,trend.adx_dmi,adx14_threshold20,um,4h,LONG,top50,6,REGISTERED,11120,1027,1027,0.09235611510791367,0.554136690647482,2054.0,-0.1433892693912614,-0.9144308370225465,0.46835443037974683,-0.0010793586791917917,-0.0033836335697028006,-0.9688621011604178,-1.5256278681876636,-0.9331856099012792,-2.5330389606844532,-0.838598494053239,-0.0032219479128305184,0.007564518474164446
T0146,trend.kaufman_er,er10_threshold0.3,um,4h,LONG,top50,6,REGISTERED,11120,1114,1114,0.10017985611510791,0.6010791366906475,2228.0,-0.968400607232035,-0.997465634589199,0.4622980251346499,-0.003648416224867354,-0.0033373877968913314,-2.873573950778678,-4.275281654043879,-0.998131472299639,-8.00498907628964,-2.435660545301799,-0.006462253034006228,0.0053664798164870025
T0147,trend.donchian,donchian_20,um,4h,LONG,top50,6,REGISTERED,11120,415,415,0.03732014388489208,0.2239208633093525,830.0,391.94044285988195,156.69399276499422,0.5807228915662651,0.014044362740552497,0.007965659095574102,10.69413483494787,22.545132641945873,-0.3468078320294853,88.68644696350175,4.747146365119466,0.01376601711775651,0.015021597916238416
T0148,trend.donchian,donchian_48,um,4h,LONG,top50,6,REGISTERED,11120,171,171,0.015377697841726618,0.09226618705035972,342.0,-0.3491506461076007,-0.5559051957798712,0.49122807017543857,-0.0033822832080991866,-0.0013349480968858555,-3.053133373221185,-4.11448667242678,-0.6336333681439508,-11.690041273291069,-0.8441113107468156,-0.008188234376024891,0.0109238039894471
T0149,trend.donchian,donchian_55,um,4h,LONG,top50,6,REGISTERED,11120,135,135,0.012140287769784174,0.07284172661870504,270.0,0.15259893912916667,-0.1433475725281539,0.5037037037037037,0.0003457757208023405,0.002075477504749763,0.2968451341186015,0.42523633006948897,-0.5478938454595745,1.3821086599758092,0.07725090468113395,-0.00335408888964946,0.012254714935694074
T0150,momentum.roc,roc_6,um,4h,LONG,top50,6,REGISTERED,11120,1518,1518,0.13651079136690647,0.8190647482014388,3036.0,-0.9022435361508889,-0.9969248361078522,0.4525691699604743,-0.002470871567445738,-0.004940984642452835,-2.2151325513612,-3.290888526234166,-0.9974028030476483,-5.425299303522872,-2.2587017766883557,-0.006062992649518266,0.009516549643584876
T0151,momentum.roc,roc_12,um,4h,LONG,top50,6,REGISTERED,11120,1473,1473,0.1324640287769784,0.7947841726618705,2946.0,-0.9964001003686128,-0.9998717123112306,0.451459606245757,-0.004681619976919047,-0.0037718016189818605,-4.138885965142056,-5.798263470848187,-0.9998879144771898,-10.253897062865846,-4.3271829539024385,-0.0090083151819172,0.009200890637975028
T0152,momentum.roc,roc_24,um,4h,LONG,top50,6,REGISTERED,11120,1391,1391,0.12508992805755395,0.7505395683453238,2782.0,-0.6679564667954719,-0.9851350488215065,0.4845434938892883,-0.0019186522988565613,-0.0018015085351330545,-1.8774665266024,-2.8588943635454167,-0.9889636905367293,-4.248738932180054,-1.9663160950169773,-0.0030337519840985053,0.0019218507704431675
T0153,momentum.rsi,rsi_7_30_70,um,4h,LONG,top50,6,REGISTERED,11120,751,751,0.06753597122302159,0.4052158273381295,1502.0,24.707773956792643,3.57464043922407,0.4993342210386152,0.0036185621393974676,-0.00015759614306536178,2.943090979127314,5.011515524075789,-0.5349294808801204,14.814384640461416,1.8740071736343706,0.0019323759751112563,0.010049849112155772
T0154,momentum.rsi,rsi_14_30_70,um,4h,LONG,top50,6,REGISTERED,11120,221,221,0.01987410071942446,0.11924460431654677,442.0,0.8707541789438413,0.1406922022681092,0.46153846153846156,0.003203188979152902,-0.002492049164586372,2.029883954193798,3.424429583304618,-0.4395985966761815,15.957703044061931,0.7884240721810892,0.0018153800044442348,0.010334985099183536
T0155,momentum.rsi,rsi_21_30_70,um,4h,LONG,top50,6,REGISTERED,11120,78,78,0.007014388489208633,0.0420863309352518,156.0,1.8878164146535443,1.4218552975992411,0.5128205128205128,0.014330099869904234,0.006697728192168263,8.435452227862305,17.144981990535037,-0.23351268267279313,134.39492174849113,1.8829682318172742,0.013634627405064596,0.01905931263081381
T0156,volatility.atr_natr,natr14_filter,um,4h,LONG,top50,6,REGISTERED,11120,8,8,0.0007194244604316547,0.004316546762589928,16.0,-0.16512160197293224,-0.18071422069044885,0.375,-0.02403422599768407,-0.016661697099840812,-33.76852828414898,-27.80041477160074,-0.12795121668075837,-411.3673656285246,-2.250892648583706,,
