trial_id,feature_id,market,timeframe,side,observations,signals,executed_trades,signal_frequency,exposure,turnover,gross_return,net_return,hit_rate,mean_net_return,median_net_return,sharpe,sortino,max_drawdown,calmar,hac_t_stat,bootstrap_ci_low,bootstrap_ci_high
T0136,derivatives.funding,um,1h,LONG,44330,851,851,0.019196932100157906,0.4607263704037898,1702.0,-0.997032518259663,-0.9996210242583642,0.36427732079905994,-0.00697340111082684,-0.013069736419067342,-9.570733955723508,-14.225245696557161,-0.999676299364266,-61.10677403244507,-3.846503168240394,-0.00697340111082684,-0.00697340111082684
T0137,derivatives.funding_zscore,um,1h,LONG,44330,21,21,0.00047371982855853824,0.011369275885404918,42.0,-0.4755910883812787,-0.49896611999217366,0.2857142857142857,-0.031026298583924028,-0.025635730706319894,-57.15181249137922,-50.910388950744924,-0.48364835224550606,-561.9586510184372,-2.7850056446415117,,
T0138,trend.ema_20_50_spread,um,4h,LONG,11120,585,585,0.05260791366906475,0.31564748201438847,1170.0,1.4570632440495714,-0.3448721951341768,0.4376068376068376,0.0014815610245828054,-0.006574520730406239,1.018503953561444,1.7316864292466578,-0.716060994807066,4.5312042791977065,0.6768201635493649,0.0014815610245828054,0.0014815610245828054
T0139,trend.ema_20_50_spread,um,4h,LONG,11120,450,450,0.040467625899280574,0.24280575539568344,900.0,-0.9067099511673478,-0.966572913847657,0.3111111111111111,-0.005598221323302989,-0.016251868014377092,-4.091530447631048,-6.824076981285259,-0.9731868812186342,-12.597893513197919,-2.279919132186123,-0.005598221323302989,-0.005598221323302989
T0140,trend.ema_20_50_spread,um,4h,LONG,11120,0,0,0.0,0.0,0.0,,,,,,,,,,,,
T0141,trend.ema_50_200_regime,um,4h,LONG,11120,585,585,0.05260791366906475,0.31564748201438847,1170.0,1.4570632440495714,-0.3448721951341768,0.4376068376068376,0.0014815610245828054,-0.006574520730406239,1.018503953561444,1.7316864292466578,-0.716060994807066,4.5312042791977065,0.6768201635493649,0.0014815610245828054,0.0014815610245828054
T0142,trend.ema_50_200_regime,um,4h,LONG,11120,450,450,0.040467625899280574,0.24280575539568344,900.0,-0.9067099511673478,-0.966572913847657,0.3111111111111111,-0.005598221323302989,-0.016251868014377092,-4.091530447631048,-6.824076981285259,-0.9731868812186342,-12.597893513197919,-2.279919132186123,-0.005598221323302989,-0.005598221323302989
T0143,trend.ema_50_200_regime,um,4h,LONG,11120,0,0,0.0,0.0,0.0,,,,,,,,,,,,
T0144,trend.ema_slope,um,4h,LONG,11120,585,585,0.05260791366906475,0.31564748201438847,1170.0,-0.705755348378881,-0.9214583980254156,0.4478632478632479,-0.002805344259747318,-0.005317662199343296,-2.3028015724083852,-3.7038794670914497,-0.9456263164675911,-6.496968011419747,-1.5467818616570708,-0.002805344259747318,-0.002805344259747318
T0145,trend.adx_dmi,um,4h,LONG,11120,435,435,0.03911870503597122,0.23471223021582735,870.0,-0.49116857099495104,-0.8104645232033271,0.4045977011494253,-0.0018650373073909338,-0.007713714744018194,-1.3600003755169687,-2.2840757165450016,-0.8606336072810311,-4.7458426775709395,-0.7682243752876698,-0.0018650373073909338,-0.0018650373073909338
