trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars_24h,status
T0158,volatility.atr_natr,natr14_filter,um,4h,LONG,top50,6,REGISTERED
T0159,volatility.bollinger_bandwidth,bb20_2s_filter,um,4h,LONG,top50,6,REGISTERED
T0160,volatility.realized_percentile,rv20_p100_filter,um,4h,LONG,top50,6,REGISTERED
T0161,volume.rvol,rvol20_filter,um,4h,LONG,top50,6,REGISTERED
T0162,volume.vwap_deviation,vwap_dev20_reversal,um,4h,LONG,top50,6,REGISTERED
T0163,orderflow.taker_ratio,ratio_sign,um,4h,LONG,top50,6,REGISTERED
T0164,orderflow.cvd,cvd_slope6_sign,um,4h,LONG,top50,6,REGISTERED
T0165,context.btc_regime,regime_follow,um,4h,LONG,top50,6,REGISTERED
T0166,context.market_breadth,breadth_0.4_0.6,um,4h,LONG,top50,6,REGISTERED
T0167,derivatives.funding,funding_sign,um,4h,LONG,top50,6,REGISTERED
T0168,derivatives.funding_zscore,z90_extreme,um,4h,LONG,top50,6,REGISTERED
T0169,trend.ema_20_50_spread,ema_10_30,um,15m,SHORT,top50,96,REGISTERED
T0170,trend.ema_20_50_spread,ema_20_50,um,15m,SHORT,top50,96,REGISTERED
T0171,trend.ema_20_50_spread,ema_50_200,um,15m,SHORT,top50,96,REGISTERED
T0172,trend.ema_50_200_regime,ema_10_30,um,15m,SHORT,top50,96,REGISTERED
T0173,trend.ema_50_200_regime,ema_20_50,um,15m,SHORT,top50,96,REGISTERED
T0174,trend.ema_50_200_regime,ema_50_200,um,15m,SHORT,top50,96,REGISTERED
T0175,trend.ema_slope,default,um,15m,SHORT,top50,96,REGISTERED
T0176,trend.adx_dmi,adx14_threshold20,um,15m,SHORT,top50,96,REGISTERED
T0177,trend.kaufman_er,er10_threshold0.3,um,15m,SHORT,top50,96,REGISTERED
T0178,trend.donchian,donchian_20,um,15m,SHORT,top50,96,REGISTERED
T0179,trend.donchian,donchian_48,um,15m,SHORT,top50,96,REGISTERED
T0180,trend.donchian,donchian_55,um,15m,SHORT,top50,96,REGISTERED
T0181,momentum.roc,roc_6,um,15m,SHORT,top50,96,REGISTERED
T0182,momentum.roc,roc_12,um,15m,SHORT,top50,96,REGISTERED
T0183,momentum.roc,roc_24,um,15m,SHORT,top50,96,REGISTERED
T0184,momentum.rsi,rsi_7_30_70,um,15m,SHORT,top50,96,REGISTERED
T0185,momentum.rsi,rsi_14_30_70,um,15m,SHORT,top50,96,REGISTERED
T0186,momentum.rsi,rsi_21_30_70,um,15m,SHORT,top50,96,REGISTERED
T0187,volatility.atr_natr,natr14_filter,um,15m,SHORT,top50,96,REGISTERED
T0188,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,top50,96,REGISTERED
T0189,volatility.realized_percentile,rv20_p100_filter,um,15m,SHORT,top50,96,REGISTERED
T0190,volume.rvol,rvol20_filter,um,15m,SHORT,top50,96,REGISTERED
T0191,volume.vwap_deviation,vwap_dev20_reversal,um,15m,SHORT,top50,96,REGISTERED
T0192,orderflow.taker_ratio,ratio_sign,um,15m,SHORT,top50,96,REGISTERED
T0193,orderflow.cvd,cvd_slope6_sign,um,15m,SHORT,top50,96,REGISTERED
T0194,context.btc_regime,regime_follow,um,15m,SHORT,top50,96,REGISTERED
T0195,context.market_breadth,breadth_0.4_0.6,um,15m,SHORT,top50,96,REGISTERED
T0196,derivatives.funding,funding_sign,um,15m,SHORT,top50,96,REGISTERED
T0197,derivatives.funding_zscore,z90_extreme,um,15m,SHORT,top50,96,REGISTERED
T0198,trend.ema_20_50_spread,ema_10_30,um,1h,SHORT,top50,24,REGISTERED
T0199,trend.ema_20_50_spread,ema_20_50,um,1h,SHORT,top50,24,REGISTERED
T0200,trend.ema_20_50_spread,ema_50_200,um,1h,SHORT,top50,24,REGISTERED
T0201,trend.ema_50_200_regime,ema_10_30,um,1h,SHORT,top50,24,REGISTERED
T0202,trend.ema_50_200_regime,ema_20_50,um,1h,SHORT,top50,24,REGISTERED
T0203,trend.ema_50_200_regime,ema_50_200,um,1h,SHORT,top50,24,REGISTERED
T0204,trend.ema_slope,default,um,1h,SHORT,top50,24,REGISTERED
T0205,trend.adx_dmi,adx14_threshold20,um,1h,SHORT,top50,24,REGISTERED
T0206,trend.kaufman_er,er10_threshold0.3,um,1h,SHORT,top50,24,REGISTERED
T0207,trend.donchian,donchian_20,um,1h,SHORT,top50,24,REGISTERED
T0208,trend.donchian,donchian_48,um,1h,SHORT,top50,24,REGISTERED
T0209,trend.donchian,donchian_55,um,1h,SHORT,top50,24,REGISTERED
T0210,momentum.roc,roc_6,um,1h,SHORT,top50,24,REGISTERED
T0211,momentum.roc,roc_12,um,1h,SHORT,top50,24,REGISTERED
T0212,momentum.roc,roc_24,um,1h,SHORT,top50,24,REGISTERED
T0213,momentum.rsi,rsi_7_30_70,um,1h,SHORT,top50,24,REGISTERED
T0214,momentum.rsi,rsi_14_30_70,um,1h,SHORT,top50,24,REGISTERED
T0215,momentum.rsi,rsi_21_30_70,um,1h,SHORT,top50,24,REGISTERED
T0216,volatility.atr_natr,natr14_filter,um,1h,SHORT,top50,24,REGISTERED
T0217,volatility.bollinger_bandwidth,bb20_2s_filter,um,1h,SHORT,top50,24,REGISTERED
T0218,volatility.realized_percentile,rv20_p100_filter,um,1h,SHORT,top50,24,REGISTERED
