trial_id,fold_id,cohort,cohort_universe_symbol_count,trades,aggregate_observations,mean_net_return,sharpe,hac_t
T0274,F07,top100,585,32266,9791,-0.0020134258783778363,-0.0991388947879642,-4.936031595189496
T0274,F08,top20,213,13295,7125,-0.0015768336157755466,-0.07347787362238606,-4.310011076277733
T0274,F08,top50,404,32979,10822,-0.0019596568750075987,-0.10273436301507738,-6.215885210847096
T0274,F08,top100,585,32979,10822,-0.0019596568750075987,-0.10273436301507738,-6.215885210847096
T0275,F01,top20,213,3569,2056,-0.0008052600613061766,-0.024001569100847157,-0.5056042942180617
T0275,F01,top50,404,4173,2274,-0.0005207121651262784,-0.015588695625242618,-0.33246625478208724
T0275,F01,top100,585,4173,2274,-0.0005207121651262784,-0.015588695625242618,-0.33246625478208724
T0275,F02,top20,213,6004,3886,-0.0009991456508274474,-0.024228832623909166,-0.7649038459412817
T0275,F02,top50,404,11775,5877,-0.0015489550200327288,-0.038951489404050445,-1.3937607072715241
T0275,F02,top100,585,11775,5877,-0.0015489550200327288,-0.038951489404050445,-1.3937607072715241
T0275,F03,top20,213,6007,3521,-0.00024156061643940433,-0.004020934819333064,-0.12579527577300695
T0275,F03,top50,404,14995,6340,4.100774772300873e-05,0.0006577568445115102,0.02467541126484322
T0275,F03,top100,585,14995,6340,4.100774772300873e-05,0.0006577568445115102,0.02467541126484322
T0275,F04,top20,213,5995,3680,-0.0015562051927840138,-0.03503521965944603,-1.1084055714592993
T0275,F04,top50,404,15064,6463,-0.0012779080352763035,-0.02634416171128132,-1.017586221406259
T0275,F04,top100,585,15064,6463,-0.0012779080352763035,-0.02634416171128132,-1.017586221406259
T0275,F05,top20,213,5887,3504,-0.006421098160885562,-0.1407240310511531,-3.8514318301699713
T0275,F05,top50,404,14664,5993,-0.006061903952667807,-0.1305956755159996,-4.2357466368187335
T0275,F05,top100,585,14664,5993,-0.006061903952667807,-0.1305956755159996,-4.2357466368187335
T0275,F06,top20,213,5998,3735,-0.0027402135616671386,-0.07656964770743191,-2.3590403456944014
T0275,F06,top50,404,15023,6472,-0.0031475629827208964,-0.08753628326084961,-3.1640085551233414
T0275,F06,top100,585,15023,6472,-0.0031475629827208964,-0.08753628326084961,-3.1640085551233414
T0275,F07,top20,213,5943,3740,-0.0022371270193253844,-0.06564196591571998,-2.0008954838698982
T0275,F07,top50,404,14788,6575,-0.0017429093124714024,-0.049257553212310214,-1.7295876549426845
T0275,F07,top100,585,14788,6575,-0.0017429093124714024,-0.049257553212310214,-1.7295876549426845
T0275,F08,top20,213,6031,4209,4.5446669909724405e-05,0.001279181422018224,0.05202062655599341
T0275,F08,top50,404,15038,7381,-0.000734313215108893,-0.022462439004832125,-1.04259841540888
T0275,F08,top100,585,15038,7381,-0.000734313215108893,-0.022462439004832125,-1.04259841540888
T0276,F01,top20,213,1957,1307,5.054520854354096e-05,0.0010426377380837331,0.01802972220544608
T0276,F01,top50,404,2290,1475,0.0002527521062840403,0.0052593771446779285,0.09511115109259931
T0276,F01,top100,585,2290,1475,0.0002527521062840403,0.0052593771446779285,0.09511115109259931
T0276,F02,top20,213,3306,2564,0.0008694973556209649,0.014460783933319248,0.37633666373146907
T0276,F02,top50,404,6453,4129,0.0005122572310507107,0.008690377180078425,0.26075831096190283
T0276,F02,top100,585,6453,4129,0.0005122572310507107,0.008690377180078425,0.26075831096190283
T0276,F03,top20,213,3283,2337,0.005062768845667003,0.056972430418717315,1.4130876180986334
T0276,F03,top50,404,8198,4402,0.0040920711491707635,0.04255395847167114,1.37144807549798
T0276,F03,top100,585,8198,4402,0.0040920711491707635,0.04255395847167114,1.37144807549798
T0276,F04,top20,213,3320,2432,0.0001465913073179171,0.002398350782648187,0.06175124616660765
T0276,F04,top50,404,8296,4505,0.0002950287923319934,0.004329818923471074,0.14285127182772683
T0276,F04,top100,585,8296,4505,0.0002950287923319934,0.004329818923471074,0.14285127182772683
T0276,F05,top20,213,3230,2220,-0.010002835277554216,-0.15218826361099994,-3.3074738755563184
T0276,F05,top50,404,8038,4111,-0.010027654166796797,-0.14724335555446172,-3.7980667743008665
T0276,F05,top100,585,8038,4111,-0.010027654166796797,-0.14724335555446172,-3.7980667743008665
T0276,F06,top20,213,3288,2404,-0.0036923095850946675,-0.07553755642578713,-1.6973091789635022
T0276,F06,top50,404,8244,4516,-0.003969728994820667,-0.07584343358186703,-2.2778728016756093
