trial_id,fold_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold,trades,symbols_traded,aggregate_observations,aggregate_mean_net_return,aggregate_sum_net_return,mean_net_return,median_net_return,aggregate_hac_t,p_value,gross_return,net_return,funding_cashflow
T0571,F03,volatility.atr_natr,natr14_filter,um,15m,SHORT,4,True,51445,80,11723,-0.00276483210949778,-32.412126819642474,-0.00300876667046422,-0.0032571763818465254,-9.497923379619518,2.5544684215915906e-21,-1.0,-1.0,3.3685571000000003
T0571,F04,volatility.atr_natr,natr14_filter,um,15m,SHORT,4,True,20023,93,7758,-0.0029074722144700484,-22.556169439858635,-0.003676910407043287,-0.0035259945274679332,-10.777064209531783,6.84463560713511e-27,-1.0,-1.0,0.19514424000000002
T0571,F05,volatility.atr_natr,natr14_filter,um,15m,SHORT,4,True,29089,98,7838,-0.0017801237964482266,-13.9526103165612,-0.0019801743984302453,-0.002456204379561953,-6.0990643345690145,1.1175191058799356e-09,-0.9983544364700123,-1.0,-0.36877826999999996
T0571,F06,volatility.atr_natr,natr14_filter,um,15m,SHORT,4,True,13968,85,5616,-0.0020230712627031387,-11.361568211340828,-0.001778796343915547,-0.002513621889867468,-7.657053564844961,2.2262162760678947e-14,1.6381042933785523,-0.9999999999985976,-0.2978299
T0571,F07,volatility.atr_natr,natr14_filter,um,15m,SHORT,4,True,19616,97,7285,-0.0020608974889910164,-15.013638207299556,-0.0026614423599226928,-0.002922693317786494,-9.396454432512074,7.402935538661826e-21,-0.9999998041726929,-1.0,-0.08857661
T0571,F08,volatility.atr_natr,natr14_filter,um,15m,SHORT,4,True,23462,99,9195,-0.002441489758150993,-22.449498326198384,-0.0027997600162657436,-0.0029648629152995137,-14.032995084332356,2.799045145167032e-44,-0.9999999994438439,-1.0,-0.3898123699999999
T0572,F01,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,True,2427,24,1284,-0.0030883286071822927,-3.965413931622064,-0.003227821000915292,-0.004114164904862603,-2.018471286023309,0.04374993892194169,-0.9873557554593612,-0.999901922722252,0.012879340000000006
T0572,F02,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,True,12633,62,5765,-0.004739012210244459,-27.320405392059307,-0.004806964072807952,-0.0043064250411861665,-6.7792884509335325,1.3281313701011117e-11,-1.0,-1.0,1.16793265
T0572,F03,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,True,23298,80,8417,-0.004467640767005912,-37.604132335888764,-0.004749649718953433,-0.004212203223258749,-4.859007189026368,1.2010739585909516e-06,-1.0,-1.0,5.79111833
T0572,F04,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,True,9851,93,4838,-0.005096906509372557,-24.65883369234443,-0.005473561744191343,-0.0042145509021038734,-6.285341925404385,3.55888698522801e-10,-1.0,-1.0,0.3276495
