trial_id,seed,blocks,preserve,samples,ci95_low,ci95_high
T0023,1729,calendar_month,all symbols together,1000,-0.0032319818059886466,-0.000657151068885421
T0024,1729,calendar_month,all symbols together,1000,-0.0038082040238949545,0.0012218505901922768
T0025,1729,calendar_month,all symbols together,1000,-0.003223596131074962,-0.0029668506931670737
T0026,1729,calendar_month,all symbols together,1000,-0.0034649761480048846,-0.0026320348507700886
T0027,1729,calendar_month,all symbols together,1000,-0.004134025204286845,-0.0018430631086232168
T0028,1729,calendar_month,all symbols together,1000,-0.004688955873627536,-1.6986100333641287e-05
T0029,1729,calendar_month,all symbols together,1000,-0.00329551996939954,-0.0030677770780942097
T0030,1729,calendar_month,all symbols together,1000,-0.0037438630053469634,-0.002978972817494068
T0031,1729,calendar_month,all symbols together,1000,-0.004200930772914504,-0.0018674269385399614
T0032,1729,calendar_month,all symbols together,1000,-0.004273599577440985,0.0004548573177970547
T0033,1729,calendar_month,all symbols together,1000,-0.0033665309881402436,-0.0031272975255724517
T0034,1729,calendar_month,all symbols together,1000,-0.0037797451080633553,-0.0030059764087064715
T0035,1729,calendar_month,all symbols together,1000,-0.004389829511656478,-0.00202804149384193
T0036,1729,calendar_month,all symbols together,1000,-0.004473002590189179,0.00037472671768458903
T0037,1729,calendar_month,all symbols together,1000,-0.0036187384116246287,-0.0031517488657099085
T0038,1729,calendar_month,all symbols together,1000,-0.0044597199946172965,-0.0034889492004144544
T0039,1729,calendar_month,all symbols together,1000,-0.005767088317674223,-0.003033692264237878
T0040,1729,calendar_month,all symbols together,1000,-0.0055401466745376516,-7.110528194508325e-05
T0041,1729,calendar_month,all symbols together,1000,-0.0035556117992794145,-0.003015282499792677
T0042,1729,calendar_month,all symbols together,1000,-0.004297277015383774,-0.00324711182811995
T0043,1729,calendar_month,all symbols together,1000,-0.004997994081036925,-0.002351868707693579
T0044,1729,calendar_month,all symbols together,1000,-0.005260736545159322,0.0004133252387946024
T0045,1729,calendar_month,all symbols together,1000,-0.0035626645325677574,-0.0030500486922707243
T0046,1729,calendar_month,all symbols together,1000,-0.004314155081057433,-0.0032206310379380883
T0047,1729,calendar_month,all symbols together,1000,-0.004967304386263843,-0.0022428530709978755
T0048,1729,calendar_month,all symbols together,1000,-0.005631185953386407,0.00034610554493472195
T0049,1729,calendar_month,all symbols together,1000,-0.003248237158012427,-0.003038801158065707
T0050,1729,calendar_month,all symbols together,1000,-0.00346273565800233,-0.0026495717874246887
T0051,1729,calendar_month,all symbols together,1000,-0.004145570999043126,-0.0017560502044967452
T0052,1729,calendar_month,all symbols together,1000,-0.004649022297597788,5.872668734267788e-05
T0053,1729,calendar_month,all symbols together,1000,-0.0032437609753406165,-0.002990173133403651
T0054,1729,calendar_month,all symbols together,1000,-0.0035897886612176193,-0.0027346168004419697
T0055,1729,calendar_month,all symbols together,1000,-0.004171901091534534,-0.0018755953385281294
T0056,1729,calendar_month,all symbols together,1000,-0.004184242913492439,0.0002397593183351402
T0057,1729,calendar_month,all symbols together,1000,-0.003189642995908807,-0.0029536211407673193
T0058,1729,calendar_month,all symbols together,1000,-0.003523896768896856,-0.0026801793024213622
T0059,1729,calendar_month,all symbols together,1000,-0.004055254282222864,-0.0017511769046437368
T0060,1729,calendar_month,all symbols together,1000,-0.004562106464485536,0.0001701275601055234
T0061,1729,calendar_month,all symbols together,1000,-0.0025783417815436645,-0.002122267109314642
T0062,1729,calendar_month,all symbols together,1000,-0.00274404108504972,-0.0015505673050695609
T0063,1729,calendar_month,all symbols together,1000,-0.0028480769989181723,4.6731577289771376e-05
T0064,1729,calendar_month,all symbols together,1000,-0.00454667017314913,0.0006614877307641049
T0065,1729,calendar_month,all symbols together,1000,-0.00253226485739529,-0.0016717360615933936
