trial_id,fold_id,scope,symbols_traded,top_symbol,top_symbol_share_abs
T0017,F03,fold_diagnostic,96,LTCUSDT,0.025495077864797645
T0017,F04,fold_diagnostic,100,LTCUSDT,0.02477680865060743
T0017,F05,fold_diagnostic,91,EOSUSDT,0.021913745458272845
T0017,F06,fold_diagnostic,92,TRXUSDT,0.022957482695819112
T0017,F07,fold_diagnostic,97,BNBUSDT,0.02227184029516019
T0017,F08,fold_diagnostic,108,TRXUSDT,0.022423708305857142
T0018,F01,fold_diagnostic,69,ATOMUSDT,0.030859655611252253
T0018,F02,fold_diagnostic,89,ONTUSDT,0.029043479553353763
T0018,F03,fold_diagnostic,96,DOGEUSDT,0.07440386066747563
T0018,F04,fold_diagnostic,100,EOSUSDT,0.03279255998578242
T0018,F05,fold_diagnostic,91,AXSUSDT,0.02636971395290951
T0018,F06,fold_diagnostic,92,GMTUSDT,0.026392319962857274
T0018,F07,fold_diagnostic,97,DOGEUSDT,0.03168855226468197
T0018,F08,fold_diagnostic,108,APEUSDT,0.024886252325208864
T0019,F01,fold_diagnostic,69,RVNUSDT,0.0492180685719836
T0019,F02,fold_diagnostic,89,BANDUSDT,0.049202192368559806
T0019,F03,fold_diagnostic,96,DOGEUSDT,0.16973185956229547
T0019,F04,fold_diagnostic,100,SLPUSDT,0.03757868834263711
T0019,F05,fold_diagnostic,91,ROSEUSDT,0.02830721374584287
T0019,F06,fold_diagnostic,92,WAVESUSDT,0.033052508927639924
T0019,F07,fold_diagnostic,97,ACHUSDT,0.044254036249427066
T0019,F08,fold_diagnostic,108,APEUSDT,0.02480895584393033
T0020,F01,fold_diagnostic,69,ZILUSDT,0.06259828628526083
T0020,F02,fold_diagnostic,89,ZILUSDT,0.03924868296659143
T0020,F03,fold_diagnostic,96,DOGEUSDT,0.18530916987849
T0020,F04,fold_diagnostic,100,GALAUSDT,0.051591323815829836
T0020,F05,fold_diagnostic,91,ICPUSDT,0.026318554394704267
T0020,F06,fold_diagnostic,92,WAVESUSDT,0.039644392014734076
T0020,F07,fold_diagnostic,97,ACHUSDT,0.03446360897535406
T0020,F08,fold_diagnostic,108,TRBUSDT,0.051395845336300885
T0021,F01,fold_diagnostic,69,IOSTUSDT,0.024362575880077526
T0021,F02,fold_diagnostic,89,XMRUSDT,0.026520660751531467
T0021,F03,fold_diagnostic,96,BTCUSDT,0.02465858989595601
T0021,F04,fold_diagnostic,100,EOSUSDT,0.02414371014312861
T0021,F05,fold_diagnostic,91,TRXUSDT,0.025957795571093786
T0021,F06,fold_diagnostic,92,UNIUSDT,0.0246041765566845
T0021,F07,fold_diagnostic,97,TRXUSDT,0.025618078839310335
T0021,F08,fold_diagnostic,108,TRXUSDT,0.023706504648653832
T0022,F01,fold_diagnostic,69,RVNUSDT,0.03317629843551017
T0022,F02,fold_diagnostic,89,ONTUSDT,0.03043359720008017
T0022,F03,fold_diagnostic,96,DOGEUSDT,0.044393836361873364
T0022,F04,fold_diagnostic,100,EOSUSDT,0.030313171960060243
T0022,F05,fold_diagnostic,91,SOLUSDT,0.025837385884301338
T0022,F06,fold_diagnostic,92,GMTUSDT,0.02712121136423804
T0022,F07,fold_diagnostic,97,TRXUSDT,0.030092114322461557
T0022,F08,fold_diagnostic,108,LTCUSDT,0.02591181584073102
T0023,F01,fold_diagnostic,69,ZILUSDT,0.05355528404397887
T0023,F02,fold_diagnostic,89,BANDUSDT,0.05282233778646308
T0023,F03,fold_diagnostic,96,DOGEUSDT,0.12679557520570794
T0023,F04,fold_diagnostic,100,GALAUSDT,0.03620567173055622
T0023,F05,fold_diagnostic,91,SLPUSDT,0.029958147043131086
T0023,F06,fold_diagnostic,92,GMTUSDT,0.02971078572893023
T0023,F07,fold_diagnostic,97,DOGEUSDT,0.031405232776536826
T0023,F08,fold_diagnostic,108,TRBUSDT,0.035971477199460186
T0024,F01,fold_diagnostic,69,ZILUSDT,0.08231269079457557
T0024,F02,fold_diagnostic,89,OMGUSDT,0.05548928020388199
T0024,F03,fold_diagnostic,96,DOGEUSDT,0.16375245153908521
T0024,F04,fold_diagnostic,100,LUNAUSDT,0.0612691082903068
T0024,F05,fold_diagnostic,91,SLPUSDT,0.03477422345706993
T0024,F06,fold_diagnostic,92,BTCSTUSDT,0.03638514543237126
T0024,F07,fold_diagnostic,97,FETUSDT,0.03729602134397826
T0024,F08,fold_diagnostic,108,TRBUSDT,0.050777423123686646
T0025,F01,fold_diagnostic,69,XLMUSDT,0.02291732911171987
T0025,F02,fold_diagnostic,89,XTZUSDT,0.02495507936595136
T0025,F03,fold_diagnostic,96,ONTUSDT,0.023243080763389257
T0025,F04,fold_diagnostic,100,LTCUSDT,0.02372361145928063
T0025,F05,fold_diagnostic,91,ICPUSDT,0.023788246686962247
T0025,F06,fold_diagnostic,92,GALAUSDT,0.02196036786485644
T0025,F07,fold_diagnostic,97,DOGEUSDT,0.022637955669428726
T0025,F08,fold_diagnostic,108,LTCUSDT,0.02216492829683621
T0026,F01,fold_diagnostic,69,ALGOUSDT,0.02847843765449821
T0026,F02,fold_diagnostic,89,XTZUSDT,0.03082192727640136
T0026,F03,fold_diagnostic,96,XEMUSDT,0.024597394545754027
T0026,F04,fold_diagnostic,100,ETCUSDT,0.027925576627653673
T0026,F05,fold_diagnostic,91,ICPUSDT,0.02752994933109856
T0026,F06,fold_diagnostic,92,GALAUSDT,0.02587841604382049
T0026,F07,fold_diagnostic,97,SANDUSDT,0.02495534096583474
T0026,F08,fold_diagnostic,108,PEPEUSDT,0.025100344854503985
T0027,F01,fold_diagnostic,69,ATOMUSDT,0.041148183066661445
T0027,F02,fold_diagnostic,89,SXPUSDT,0.04835209847294554
T0027,F03,fold_diagnostic,96,DOGEUSDT,0.100639089578691
T0027,F04,fold_diagnostic,100,SLPUSDT,0.03973597825874113
T0027,F05,fold_diagnostic,91,SLPUSDT,0.028153775699672073
T0027,F06,fold_diagnostic,92,WAVESUSDT,0.03305920566876216
T0027,F07,fold_diagnostic,97,HOOKUSDT,0.03383588259067558
T0027,F08,fold_diagnostic,108,TRBUSDT,0.04476001116025237
T0028,F01,fold_diagnostic,69,BANDUSDT,0.04618570853378858
T0028,F02,fold_diagnostic,89,WAVESUSDT,0.046295783207907434
T0028,F03,fold_diagnostic,96,DOGEUSDT,0.08787581650784526
T0028,F04,fold_diagnostic,100,LUNAUSDT,0.05176168128304806
T0028,F05,fold_diagnostic,91,SLPUSDT,0.03313219351152164
T0028,F06,fold_diagnostic,92,SOLUSDT,0.035263537560906624
T0028,F07,fold_diagnostic,97,IDUSDT,0.03369308138466108
T0028,F08,fold_diagnostic,108,TRBUSDT,0.04483442245116312
T0029,F01,fold_diagnostic,69,IOSTUSDT,0.025471116550346503
T0029,F02,fold_diagnostic,89,THETAUSDT,0.02602740952050218
T0029,F03,fold_diagnostic,96,EOSUSDT,0.02564504796746635
T0029,F04,fold_diagnostic,100,SLPUSDT,0.02506648658046117
T0029,F05,fold_diagnostic,91,AVAXUSDT,0.02209081929351854
T0029,F06,fold_diagnostic,92,DOTUSDT,0.02272609612088175
T0029,F07,fold_diagnostic,97,LTCUSDT,0.021288750625045837
T0029,F08,fold_diagnostic,108,PEPEUSDT,0.024482582877838038
T0030,F01,fold_diagnostic,69,HOTUSDT,0.03200630911672484
T0030,F02,fold_diagnostic,89,XTZUSDT,0.03161332622164164
T0030,F03,fold_diagnostic,96,DOGEUSDT,0.037520576061359605
T0030,F04,fold_diagnostic,100,ICPUSDT,0.03661531055687428
T0030,F05,fold_diagnostic,91,LUNAUSDT,0.028774715514903623
T0030,F06,fold_diagnostic,92,WAVESUSDT,0.024759848881850184
T0030,F07,fold_diagnostic,97,ACHUSDT,0.02947319970547353
T0030,F08,fold_diagnostic,108,PEPEUSDT,0.030848764458624875
T0031,F01,fold_diagnostic,69,ATOMUSDT,0.044186647019170286
T0031,F02,fold_diagnostic,89,SXPUSDT,0.04170548950416783
T0031,F03,fold_diagnostic,96,DOGEUSDT,0.07213071537583796
T0031,F04,fold_diagnostic,100,SLPUSDT,0.03993352844344701
T0031,F05,fold_diagnostic,91,SLPUSDT,0.030989805170890252
T0031,F06,fold_diagnostic,92,WAVESUSDT,0.03328750658303712
T0031,F07,fold_diagnostic,97,ACHUSDT,0.0377815864107866
T0031,F08,fold_diagnostic,108,APEUSDT,0.028149934550907214
T0032,F01,fold_diagnostic,69,HBARUSDT,0.07141348569611519
T0032,F02,fold_diagnostic,89,WAVESUSDT,0.03887297195568839
T0032,F03,fold_diagnostic,96,DOGEUSDT,0.11258092236622068
T0032,F04,fold_diagnostic,100,LUNAUSDT,0.045751288001048614
T0032,F05,fold_diagnostic,91,SLPUSDT,0.03508332999340661
T0032,F06,fold_diagnostic,92,WAVESUSDT,0.039129073370733146
T0032,F07,fold_diagnostic,97,APTUSDT,0.03247457370010129
T0032,F08,fold_diagnostic,108,TRBUSDT,0.04484818166044076
T0033,F01,fold_diagnostic,69,ATOMUSDT,0.025884696846134692
T0033,F02,fold_diagnostic,89,ALGOUSDT,0.02463267636113724
T0033,F03,fold_diagnostic,96,ONTUSDT,0.023931536282231294
T0033,F04,fold_diagnostic,100,ICPUSDT,0.025145997554991754
T0033,F05,fold_diagnostic,91,GALAUSDT,0.024138899158710925
T0033,F06,fold_diagnostic,92,ATOMUSDT,0.021986171375111645
T0033,F07,fold_diagnostic,97,FETUSDT,0.024538269160864924
