trial_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_observations,aggregate_mean_net_return,aggregate_sum_net_return,aggregate_hac_t,p_value,bootstrap_ci_low,bootstrap_ci_high,best_fold_aggregate_mean,worst_fold_aggregate_mean,max_top_symbol_share_abs,fdr_q_value,bonferroni_p,catastrophic_reversal,temporal_replication,horizon_decay_position,spot_um_consistency_note,um_long_short_mean_delta
T0050,momentum.roc,roc_6,spot,15m,LONG,16,8,0.0,85128,-0.003058829287877647,-260.39201961844833,-16.82319944718524,2.0899969252237113e-63,-0.00346273565800233,-0.0026495717874246887,-0.0017089220803151938,-0.00437250960189419,0.021345115801960943,1.9268752139867388e-62,1.5800376754691258e-60,True,NO_REPLICATION,2,same_direction,
T0051,momentum.roc,roc_6,spot,15m,LONG,48,8,0.0,53725,-0.0029592248420559674,-158.98435463945685,-6.269571755026645,3.6478554964067684e-10,-0.004145570999043126,-0.0017560502044967452,-0.0008430759065610101,-0.007139215619035795,0.02241784226205315,1.1785379296083406e-09,2.757778755283517e-07,True,NO_REPLICATION,3,same_direction,
T0052,momentum.roc,roc_6,spot,15m,LONG,96,8,0.375,34137,-0.002351777485301972,-80.28262801575342,-2.8028138300762717,0.00506874581148524,-0.004649022297597788,5.872668734267788e-05,0.0030489854860478783,-0.010386352777193455,0.022844899615090893,0.008650049285514314,1.0,True,NO_REPLICATION,4,same_direction,
T0053,momentum.roc,roc_12,spot,15m,LONG,4,8,0.0,118821,-0.0031193123871964368,-370.63981715906783,-57.22769458463608,0.0,-0.0032437609753406165,-0.002990173133403651,-0.0028159501990446395,-0.003509706006623854,0.020643928070693946,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0054,momentum.roc,roc_12,spot,15m,LONG,16,8,0.0,82502,-0.003166477300991905,-261.24071028643414,-17.196850288007905,3.6586289224251057e-66,-0.0035897886612176193,-0.0027346168004419697,-0.0019925131787293052,-0.0043648561505626295,0.02162020060035418,3.501168943485291e-65,2.76592346535338e-63,True,NO_REPLICATION,2,same_direction,
T0055,momentum.roc,roc_12,spot,15m,LONG,48,8,0.0,51264,-0.0030273645766959504,-155.1948176597412,-6.411032962763218,1.4578979872499917e-10,-0.004171901091534534,-0.0018755953385281294,-0.0012106393962253215,-0.007375017718365417,0.019674671612317417,4.834082799828919e-10,1.1021708783609936e-07,True,NO_REPLICATION,3,same_direction,
T0056,momentum.roc,roc_12,spot,15m,LONG,96,8,0.375,34380,-0.002023003673142189,-69.55086628262845,-2.4626102830757346,0.013797841144300972,-0.004184242913492439,0.0002397593183351402,0.00333206911901068,-0.010420102576508907,0.023768457766385222,0.021507562690910382,1.0,True,NO_REPLICATION,4,same_direction,
T0057,momentum.roc,roc_24,spot,15m,LONG,4,8,0.0,118638,-0.0030730292113930633,-364.57803958125027,-56.54810495513787,0.0,-0.003189642995908807,-0.0029536211407673193,-0.0027947162961265864,-0.003481417769537806,0.021101211211430083,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0058,momentum.roc,roc_24,spot,15m,LONG,16,8,0.0,84052,-0.0031104406107430767,-261.4387542141771,-17.119176282250496,1.3801153596372799e-65,-0.003523896768896856,-0.0026801793024213622,-0.002349466535183836,-0.004784791066885067,0.020135640102021908,1.3042090148572295e-64,1.0433672118857836e-62,True,NO_REPLICATION,2,same_direction,
T0059,momentum.roc,roc_24,spot,15m,LONG,48,8,0.0,48465,-0.0028950990288240646,-140.3109744319583,-6.214560423889972,5.188629022996102e-10,-0.004055254282222864,-0.0017511769046437368,-0.0005760878517748066,-0.007321382627144352,0.02170803241713876,1.669192996334065e-09,3.922603541385053e-07,True,NO_REPLICATION,3,same_direction,
T0060,momentum.roc,roc_24,spot,15m,LONG,96,8,0.125,32730,-0.0022178920618595058,-72.59160718466163,-2.573048933475009,0.010085058341732974,-0.004562106464485536,0.0001701275601055234,0.0030986925490043235,-0.012310285345697523,0.026437437224983686,0.016502822741017595,1.0,True,NO_REPLICATION,4,same_direction,
T0061,momentum.rsi,rsi_7_30_70,spot,15m,LONG,4,8,0.0,56914,-0.002369236343071203,-134.84271722955447,-28.8649373439954,6.792152028021177e-182,-0.0025783417815436645,-0.002122267109314642,-0.0014024082063954697,-0.003419266228630518,0.025009696290677372,8.70316429353222e-181,5.13486693318401e-179,True,NO_REPLICATION,1,same_direction,
T0062,momentum.rsi,rsi_7_30_70,spot,15m,LONG,16,8,0.0,43613,-0.0021433064993760026,-93.47602635728559,-8.971931731010644,3.026479828858168e-19,-0.00274404108504972,-0.0015505673050695609,-0.0008429248605590385,-0.0043762301786768034,0.024513441472559856,1.2782227657076954e-18,2.288018750616775e-16,True,NO_REPLICATION,2,same_direction,
T0063,momentum.rsi,rsi_7_30_70,spot,15m,LONG,48,8,0.25,32256,-0.0014643576162847217,-47.234319270879986,-2.566971352818652,0.010263576511290194,-0.0028480769989181723,4.6731577289771376e-05,0.0016388268090447326,-0.006628204279334679,0.030514678108941696,0.016698396301017306,1.0,True,NO_REPLICATION,3,same_direction,
T0064,momentum.rsi,rsi_7_30_70,spot,15m,LONG,96,8,0.375,24279,-0.0019327115761822895,-46.92430435812981,-1.9885923312591047,0.04675742612598544,-0.00454667017314913,0.0006614877307641049,0.0026586915034596333,-0.013436348426405145,0.02319983205937881,0.06632010159708254,1.0,True,NO_REPLICATION,4,same_direction,
T0065,momentum.rsi,rsi_14_30_70,spot,15m,LONG,4,8,0.125,22604,-0.002151443390236366,-48.63122639290282,-12.82402877835685,1.6257963571519374e-37,-0.00253226485739529,-0.0016717360615933936,0.00037303923758186366,-0.0037615602325288336,0.032965639004008104,1.1072991405467248e-36,1.2291020460068646e-34,True,NO_REPLICATION,1,same_direction,
T0066,momentum.rsi,rsi_14_30_70,spot,15m,LONG,16,8,0.25,16736,-0.0017256117760370393,-28.87983868375589,-4.409453247817645,1.0427781407091673e-05,-0.0026431466593754512,-0.0007453466627592796,0.002195534135196021,-0.005478587217976484,0.033164089164559346,2.543033143148808e-05,0.007883402743761305,True,NO_REPLICATION,2,same_direction,
T0067,momentum.rsi,rsi_14_30_70,spot,15m,LONG,48,8,0.375,13643,-0.002037159295757431,-27.79296427201863,-2.4791004120622757,0.01318341305299195,-0.0038275078380748022,-0.0001860473731120117,0.0006871040189422808,-0.008940857676097374,0.030028553651340384,0.020807223941674145,1.0,True,NO_REPLICATION,3,same_direction,
T0068,momentum.rsi,rsi_14_30_70,spot,15m,LONG,96,8,0.5,11535,-0.0013585403788280667,-15.67076326978175,-1.025033913589649,0.30536868279880874,-0.004570864956216707,0.0019157951623409988,0.005501599645459767,-0.013014987979211093,0.02066783669506108,0.368783904466293,1.0,True,NO_REPLICATION,4,same_direction,
