trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars,status
T0104,context.btc_regime,regime_follow,spot,15m,LONG,top50,96,REGISTERED
T0105,context.market_breadth,breadth_0.4_0.6,spot,15m,LONG,top50,4,REGISTERED
T0106,context.market_breadth,breadth_0.4_0.6,spot,15m,LONG,top50,16,REGISTERED
T0107,context.market_breadth,breadth_0.4_0.6,spot,15m,LONG,top50,48,REGISTERED
T0108,context.market_breadth,breadth_0.4_0.6,spot,15m,LONG,top50,96,REGISTERED
T0109,trend.ema_20_50_spread,ema_10_30,spot,1h,LONG,top50,4,REGISTERED
T0110,trend.ema_20_50_spread,ema_10_30,spot,1h,LONG,top50,12,REGISTERED
T0111,trend.ema_20_50_spread,ema_10_30,spot,1h,LONG,top50,24,REGISTERED
T0112,trend.ema_20_50_spread,ema_20_50,spot,1h,LONG,top50,4,REGISTERED
T0113,trend.ema_20_50_spread,ema_20_50,spot,1h,LONG,top50,12,REGISTERED
T0114,trend.ema_20_50_spread,ema_20_50,spot,1h,LONG,top50,24,REGISTERED
T0115,trend.ema_20_50_spread,ema_50_200,spot,1h,LONG,top50,4,REGISTERED
T0116,trend.ema_20_50_spread,ema_50_200,spot,1h,LONG,top50,12,REGISTERED
T0117,trend.ema_20_50_spread,ema_50_200,spot,1h,LONG,top50,24,REGISTERED
T0118,trend.ema_50_200_regime,ema_10_30,spot,1h,LONG,top50,4,REGISTERED
T0119,trend.ema_50_200_regime,ema_10_30,spot,1h,LONG,top50,12,REGISTERED
T0120,trend.ema_50_200_regime,ema_10_30,spot,1h,LONG,top50,24,REGISTERED
T0121,trend.ema_50_200_regime,ema_20_50,spot,1h,LONG,top50,4,REGISTERED
T0122,trend.ema_50_200_regime,ema_20_50,spot,1h,LONG,top50,12,REGISTERED
T0123,trend.ema_50_200_regime,ema_20_50,spot,1h,LONG,top50,24,REGISTERED
T0124,trend.ema_50_200_regime,ema_50_200,spot,1h,LONG,top50,4,REGISTERED
T0125,trend.ema_50_200_regime,ema_50_200,spot,1h,LONG,top50,12,REGISTERED
T0126,trend.ema_50_200_regime,ema_50_200,spot,1h,LONG,top50,24,REGISTERED
T0127,trend.ema_slope,default,spot,1h,LONG,top50,4,REGISTERED
T0128,trend.ema_slope,default,spot,1h,LONG,top50,12,REGISTERED
T0129,trend.ema_slope,default,spot,1h,LONG,top50,24,REGISTERED
T0130,trend.adx_dmi,adx14_threshold20,spot,1h,LONG,top50,4,REGISTERED
T0131,trend.adx_dmi,adx14_threshold20,spot,1h,LONG,top50,12,REGISTERED
T0132,trend.adx_dmi,adx14_threshold20,spot,1h,LONG,top50,24,REGISTERED
T0133,trend.kaufman_er,er10_threshold0.3,spot,1h,LONG,top50,4,REGISTERED
T0134,trend.kaufman_er,er10_threshold0.3,spot,1h,LONG,top50,12,REGISTERED
T0135,trend.kaufman_er,er10_threshold0.3,spot,1h,LONG,top50,24,REGISTERED
T0136,trend.donchian,donchian_20,spot,1h,LONG,top50,4,REGISTERED
T0137,trend.donchian,donchian_20,spot,1h,LONG,top50,12,REGISTERED
T0138,trend.donchian,donchian_20,spot,1h,LONG,top50,24,REGISTERED
T0139,trend.donchian,donchian_48,spot,1h,LONG,top50,4,REGISTERED
T0140,trend.donchian,donchian_48,spot,1h,LONG,top50,12,REGISTERED
T0141,trend.donchian,donchian_48,spot,1h,LONG,top50,24,REGISTERED
T0142,trend.donchian,donchian_55,spot,1h,LONG,top50,4,REGISTERED
T0143,trend.donchian,donchian_55,spot,1h,LONG,top50,12,REGISTERED
T0144,trend.donchian,donchian_55,spot,1h,LONG,top50,24,REGISTERED
T0145,momentum.roc,roc_6,spot,1h,LONG,top50,4,REGISTERED
T0146,momentum.roc,roc_6,spot,1h,LONG,top50,12,REGISTERED
T0147,momentum.roc,roc_6,spot,1h,LONG,top50,24,REGISTERED
T0148,momentum.roc,roc_12,spot,1h,LONG,top50,4,REGISTERED
T0149,momentum.roc,roc_12,spot,1h,LONG,top50,12,REGISTERED
T0150,momentum.roc,roc_12,spot,1h,LONG,top50,24,REGISTERED
T0151,momentum.roc,roc_24,spot,1h,LONG,top50,4,REGISTERED
T0152,momentum.roc,roc_24,spot,1h,LONG,top50,12,REGISTERED
T0153,momentum.roc,roc_24,spot,1h,LONG,top50,24,REGISTERED
T0154,momentum.rsi,rsi_7_30_70,spot,1h,LONG,top50,4,REGISTERED
T0155,momentum.rsi,rsi_7_30_70,spot,1h,LONG,top50,12,REGISTERED
T0156,momentum.rsi,rsi_7_30_70,spot,1h,LONG,top50,24,REGISTERED
T0157,momentum.rsi,rsi_14_30_70,spot,1h,LONG,top50,4,REGISTERED
T0158,momentum.rsi,rsi_14_30_70,spot,1h,LONG,top50,12,REGISTERED
T0159,momentum.rsi,rsi_14_30_70,spot,1h,LONG,top50,24,REGISTERED
T0160,momentum.rsi,rsi_21_30_70,spot,1h,LONG,top50,4,REGISTERED
T0161,momentum.rsi,rsi_21_30_70,spot,1h,LONG,top50,12,REGISTERED
T0162,momentum.rsi,rsi_21_30_70,spot,1h,LONG,top50,24,REGISTERED
T0163,volatility.atr_natr,natr14_filter,spot,1h,LONG,top50,4,REGISTERED
T0164,volatility.atr_natr,natr14_filter,spot,1h,LONG,top50,12,REGISTERED
T0165,volatility.atr_natr,natr14_filter,spot,1h,LONG,top50,24,REGISTERED
T0166,volatility.bollinger_bandwidth,bb20_2s_filter,spot,1h,LONG,top50,4,REGISTERED
T0167,volatility.bollinger_bandwidth,bb20_2s_filter,spot,1h,LONG,top50,12,REGISTERED
T0168,volatility.bollinger_bandwidth,bb20_2s_filter,spot,1h,LONG,top50,24,REGISTERED
T0169,volatility.realized_percentile,rv20_p100_filter,spot,1h,LONG,top50,4,REGISTERED
T0170,volatility.realized_percentile,rv20_p100_filter,spot,1h,LONG,top50,12,REGISTERED
T0171,volatility.realized_percentile,rv20_p100_filter,spot,1h,LONG,top50,24,REGISTERED
T0172,volume.rvol,rvol20_filter,spot,1h,LONG,top50,4,REGISTERED
T0173,volume.rvol,rvol20_filter,spot,1h,LONG,top50,12,REGISTERED
T0174,volume.rvol,rvol20_filter,spot,1h,LONG,top50,24,REGISTERED
T0175,volume.vwap_deviation,vwap_dev20_reversal,spot,1h,LONG,top50,4,REGISTERED
T0176,volume.vwap_deviation,vwap_dev20_reversal,spot,1h,LONG,top50,12,REGISTERED
T0177,volume.vwap_deviation,vwap_dev20_reversal,spot,1h,LONG,top50,24,REGISTERED
T0178,orderflow.taker_ratio,ratio_sign,spot,1h,LONG,top50,4,REGISTERED
T0179,orderflow.taker_ratio,ratio_sign,spot,1h,LONG,top50,12,REGISTERED
