trial_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_hac_t,fdr_q_value,max_top_symbol_share_abs,catastrophic_reversal,temporal_replication
T0515,trend.ema_50_200_regime,ema_20_50,um,15m,SHORT,4,8,0.0,-33.849408489125125,1.130077544037284e-248,0.02231496810108619,True,NO_REPLICATION
T0516,trend.ema_50_200_regime,ema_20_50,um,15m,SHORT,16,8,0.0,-10.462657515000311,7.08696431618274e-25,0.02403551042856645,True,NO_REPLICATION
T0517,trend.ema_50_200_regime,ema_20_50,um,15m,SHORT,48,8,0.125,-5.4995530114378655,1.1084501721845932e-07,0.02819292815315464,True,NO_REPLICATION
T0518,trend.ema_50_200_regime,ema_20_50,um,15m,SHORT,96,8,0.125,-3.594869654928333,0.0006630016048501812,0.031664976301641966,False,NO_REPLICATION
T0519,trend.ema_50_200_regime,ema_50_200,um,15m,SHORT,4,8,0.0,-33.708087775045826,1.2555882681045143e-246,0.023195367245235084,True,NO_REPLICATION
T0520,trend.ema_50_200_regime,ema_50_200,um,15m,SHORT,16,8,0.0,-9.04161776500088,6.731955629676571e-19,0.02328487939318058,True,NO_REPLICATION
T0521,trend.ema_50_200_regime,ema_50_200,um,15m,SHORT,48,8,0.125,-4.558882872523748,1.2948699085050135e-05,0.027028529678344227,True,NO_REPLICATION
T0522,trend.ema_50_200_regime,ema_50_200,um,15m,SHORT,96,8,0.125,-3.1181215423677653,0.003359247605617855,0.028459484646134067,False,NO_REPLICATION
T0523,trend.ema_slope,default,um,15m,SHORT,4,8,0.0,-35.53911287052187,9.144717510044593e-274,0.021982144357787635,True,NO_REPLICATION
T0524,trend.ema_slope,default,um,15m,SHORT,16,8,0.0,-11.432177960069149,1.8282127578519527e-29,0.023739855555338325,True,NO_REPLICATION
T0525,trend.ema_slope,default,um,15m,SHORT,48,8,0.125,-5.432706555437576,1.584820157305728e-07,0.027362688081192073,True,NO_REPLICATION
T0526,trend.ema_slope,default,um,15m,SHORT,96,8,0.25,-3.484053712478986,0.0009837787467818235,0.02897893946414651,False,NO_REPLICATION
T0527,trend.adx_dmi,adx14_threshold20,um,15m,SHORT,4,8,0.0,-33.47705950847131,3.7983881227845926e-243,0.022466712461347873,True,NO_REPLICATION
T0528,trend.adx_dmi,adx14_threshold20,um,15m,SHORT,16,8,0.0,-10.156420153205596,1.616130619326215e-23,0.02683358861285119,True,NO_REPLICATION
T0529,trend.adx_dmi,adx14_threshold20,um,15m,SHORT,48,8,0.125,-5.773334094485305,2.4345335881518433e-08,0.027488640192096393,True,NO_REPLICATION
T0530,trend.adx_dmi,adx14_threshold20,um,15m,SHORT,96,8,0.125,-3.5979514730072384,0.0006599487180547546,0.029501225848596754,False,NO_REPLICATION
T0531,trend.kaufman_er,er10_threshold0.3,um,15m,SHORT,4,8,0.0,-35.827262450368714,6.34398958064119e-278,0.0232970181059456,True,NO_REPLICATION
T0532,trend.kaufman_er,er10_threshold0.3,um,15m,SHORT,16,8,0.0,-12.235950073907595,1.3929730893265771e-33,0.023319746964048607,True,NO_REPLICATION
T0533,trend.kaufman_er,er10_threshold0.3,um,15m,SHORT,48,8,0.125,-5.881424499746932,1.284043517865406e-08,0.02634789607817598,True,NO_REPLICATION
T0534,trend.kaufman_er,er10_threshold0.3,um,15m,SHORT,96,8,0.125,-3.9517234823395695,0.00017185498878659103,0.034266192398573404,False,NO_REPLICATION
T0535,trend.donchian,donchian_20,um,15m,SHORT,4,8,0.0,-25.16968372165724,1.929261942311272e-137,0.023280262277262334,True,NO_REPLICATION
T0536,trend.donchian,donchian_20,um,15m,SHORT,16,8,0.0,-10.307615072706996,3.747359720910089e-24,0.0245269501048078,True,NO_REPLICATION
T0537,trend.donchian,donchian_20,um,15m,SHORT,48,8,0.125,-5.587006525768585,6.927600407257045e-08,0.026142771219605926,True,NO_REPLICATION
T0538,trend.donchian,donchian_20,um,15m,SHORT,96,8,0.25,-2.9109565001911872,0.006327415528007846,0.028745882681063133,False,NO_REPLICATION
T0539,trend.donchian,donchian_48,um,15m,SHORT,4,8,0.0,-18.258349032331953,6.791836081485419e-73,0.026527327155930775,True,NO_REPLICATION
T0540,trend.donchian,donchian_48,um,15m,SHORT,16,8,0.0,-9.156330141120868,2.595272406482692e-19,0.025089904693338005,True,NO_REPLICATION
T0541,trend.donchian,donchian_48,um,15m,SHORT,48,8,0.125,-4.419188896714292,2.440985724842703e-05,0.028623000113965937,True,NO_REPLICATION
T0542,trend.donchian,donchian_48,um,15m,SHORT,96,8,0.125,-4.070107340216029,0.00010765971819795885,0.024331348535691272,False,NO_REPLICATION
T0543,trend.donchian,donchian_55,um,15m,SHORT,4,8,0.0,-17.29958155841376,1.4926447211664848e-65,0.026814988479765704,True,NO_REPLICATION
T0544,trend.donchian,donchian_55,um,15m,SHORT,16,8,0.0,-8.633267077934196,2.5858440144666505e-17,0.026047883345336947,True,NO_REPLICATION
T0545,trend.donchian,donchian_55,um,15m,SHORT,48,8,0.25,-4.2850618982176085,4.3315085702528944e-05,0.0332901160640946,True,NO_REPLICATION
T0546,trend.donchian,donchian_55,um,15m,SHORT,96,8,0.125,-3.9534259004441106,0.00017179397065118212,0.028828668081490677,False,NO_REPLICATION
T0547,momentum.roc,roc_6,um,15m,SHORT,4,8,0.0,-38.154745272139394,0.0,0.022623831034192576,True,NO_REPLICATION
T0548,momentum.roc,roc_6,um,15m,SHORT,16,8,0.0,-12.409943649267014,1.619206862208703e-34,0.024018762052315262,True,NO_REPLICATION
T0549,momentum.roc,roc_6,um,15m,SHORT,48,8,0.125,-5.440723866952027,1.5206214715967117e-07,0.02817618089524831,True,NO_REPLICATION
T0550,momentum.roc,roc_6,um,15m,SHORT,96,8,0.25,-3.9826829752633173,0.00015227366709341967,0.04056505952257188,True,NO_REPLICATION
