market,symbol,asset_base,classification,evidence,evidence_source,classification_version,primary_crypto_eligible,all_tradable_usdt_diagnostic
um,CRWDUSDT,CRWD,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CRWVUSDT,CRWV,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CSCOUSDT,CSCO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CTKUSDT,CTK,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CTKUSDTSETTLED,CTKUSDTSETTLED,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,CTRUSDT,CTR,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CTSIUSDT,CTSI,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CUDISUSDT,CUDIS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CUSDT,C,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CVCUSDT,CVC,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CVCUSDTSETTLED,CVCUSDTSETTLED,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,CVXBUSD,CVXBUSD,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,CVXUSDT,CVX,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CVXUSDTSETTLED,CVXUSDTSETTLED,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,CYBERUSDT,CYBER,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CYSUSDT,CYS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DAMUSDT,DAM,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DARUSDT,DAR,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DASHUSDT,DASH,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DATAIPUSDC,DATAIPUSDC,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,DATAIPUSDT,DATAIP,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DEEPUSDT,DEEP,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DEFIUSDT,DEFI,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DEGENUSDT,DEGEN,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
